X,Y,OBJECTID,SITENUMBER,TERRITORY,NEST,NESTYEAR,last_edited_date
-85.5236504115887,29.9876851970137,148,Bay03,12,C,2006,
-85.5271334431517,29.9928351999143,149,Bay03,13,A,2006,
-85.5233834080318,29.9868352013156,150,Bay03,14,A,2006,
-85.5238834121156,29.9872692014928,151,Bay03,14,B,2006,
-85.528483446632,29.994085195571,152,Bay03,15,A,2006,
-85.5273174387831,29.9923351838622,153,Bay03,16,A,2006,
-85.5251334178334,29.9892521943587,154,Bay03,16,B,2006,
-85.4530601982846,29.956702320206,155,Bay03,18,A,2006,
-85.4540202098625,29.9569223275575,156,Bay03,19,A,2006,
-85.9899848848249,30.2680692392943,157,Bay05,1,A,2006,
-85.9899518789248,30.268035227406,158,Bay05,1,B,2006,
-85.9894848762496,30.2678692402533,159,Bay05,2,A,2006,
-85.7373183068558,30.126252184976,160,Bay06,1,A,2006,
-85.7376513096367,30.1266851805567,161,Bay06,1,B,2006,
-85.7382013058643,30.1270351810875,162,Bay06,2,A,2006,
-85.532467545884,30.0136852701465,163,Bay09,1,A,2006,
-85.5448675612826,30.0057022046165,164,Bay10,1,A,2006,
-85.5424175509739,30.0050192071426,165,Bay10,6,A,2006,
-87.3944221858393,30.3044546055513,166,Esca04,1,A,2006,
-87.3518882462186,30.3137041104115,167,Esca04,2,2A,2006,
-87.4046551809049,30.3020377199782,168,Esca04,3,3A,2006,
-87.3404052409436,30.3165209590442,169,Esca04,5,5A,2006,
-87.3918721993277,30.3051045712871,170,Esca04,6,6A,2006,
-87.3506222522854,30.3132711013093,171,Esca04,8,A,2006,
-87.3982051819436,30.3037376501638,172,Esca04,9,A,2006,
-87.3524252429258,30.313234119429,173,Esca04,13,A,2006,
-87.3603452378316,30.3115042098465,174,Esca04,14,A,2006,
-87.3459752529476,30.3141040499442,175,Esca04,15,A,2006,
-87.346505238304,30.3144840462031,176,Esca04,16,A,2006,
-87.3943551849938,30.3044545962445,177,Esca04,17,A,2006,
-87.3300952647496,30.3175238531101,178,Esca04,18,A,2006,
-86.9368378604259,30.3706837641107,179,Esca05,1,1A,2006,
-86.9777720882734,30.3621008864309,180,Esca05,2,2A,2006,
-87.0347222481675,30.3524841884999,181,Esca05,3,3A,2006,
-87.0113052339373,30.3565180109094,182,Esca05,4,A,2006,
-86.9621049963062,30.366250825012,183,Esca05,14,A,2006,
-86.9577349736217,30.366850813253,184,Esca05,15,A,2006,
-86.9452549129414,30.3693207840997,185,Esca05,17,A,2006,
-86.9342548482512,30.3696007566907,186,Esca05,18,A,2006,
-87.2468553951278,30.3202199527099,187,Esca07,1,1A,2006,
-87.2486553889885,30.319352975893,188,Esca07,2,2A,2006,
-87.2480723868607,30.3187699867075,189,Esca07,3,3A,2006,
-87.2508223949484,30.319502985474,190,Esca07,4,4A,2006,
-87.2508553963569,30.3195529948202,191,Esca07,4,B,2006,
-87.2889053054053,30.3218363578835,192,Esca07,5,5A,2006,
-87.2888223073613,30.3218033672668,193,Esca07,5,B,2006,
-87.2912552999853,30.3231363824983,194,Esca07,6,6A,2006,
-87.2465053863403,30.3188699673501,195,Esca07,9,9A,2006,
-87.192922365456,30.3256854859493,196,Esca07,11,A,2006,
-87.2783053350714,30.3196202818586,197,Esca07,12,A,2006,
-87.2258553853062,30.3212527894938,198,Esca07,15,A,2006,
-87.2037753624594,30.323672579712,199,Esca07,17,A,2006,
-87.2237253746646,30.3223227574674,200,Esca07,18,A,2006,
-85.1413169379382,29.6336857369984,201,Frank02,1,A,2006,
-85.1398669393903,29.6333197349647,202,Frank02,1,B,2006,
-85.2127997756991,29.6755026058069,203,Frank02,3,A,2006,
