X,Y,OBJECTID,RARNUM,BIOGWIS_RA,SPECIES_ID,SEASON_ID,EL_RAR,EL_SPE,EL_SPE_SEA,GEO_SRC,SEASON_SRC,CONCENTRA,ELEMENT,SUBELEMENT,NAME,SCINAME,STATUS,PRESENCE,ACTIVE_JAN,ACTIVE_FEB,ACTIVE_MAR,ACTIVE_APR,ACTIVE_MAY,ACTIVE_JUN,ACTIVE_JUL,ACTIVE_AUG,ACTIVE_SEP,ACTIVE_OCT,ACTIVE_NOV,ACTIVE_DEC,ESI_INFO,created_user,created_date,last_edited_user,last_edited_date
-81.00421393,25.31637443,4049,492,492,1004,2,BIRD_492,B01004,B0100402,69,37,HIGH,BIRD,wading,Wading birds, , ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , ,Nesting,Wading birds; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-81.00319184,25.22238428,4050,492,492,1004,2,BIRD_492,B01004,B0100402,69,37,HIGH,BIRD,wading,Wading birds, , ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , ,Nesting,Wading birds; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-81.0023506,25.21196884,4051,492,492,1004,2,BIRD_492,B01004,B0100402,69,37,HIGH,BIRD,wading,Wading birds, , ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , ,Nesting,Wading birds; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-80.97750585,25.21883858,4052,492,492,1004,2,BIRD_492,B01004,B0100402,69,37,HIGH,BIRD,wading,Wading birds, , ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , ,Nesting,Wading birds; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-80.97233143,25.2689879,4053,492,492,1004,2,BIRD_492,B01004,B0100402,69,37,HIGH,BIRD,wading,Wading birds, , ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , ,Nesting,Wading birds; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-80.95746298,25.13949673,4054,492,492,1004,2,BIRD_492,B01004,B0100402,69,37,HIGH,BIRD,wading,Wading birds, , ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , ,Nesting,Wading birds; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-80.9531085,25.22176244,4055,492,492,1004,2,BIRD_492,B01004,B0100402,69,37,HIGH,BIRD,wading,Wading birds, , ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , ,Nesting,Wading birds; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-80.95171363,25.24822446,4056,492,492,1004,2,BIRD_492,B01004,B0100402,69,37,HIGH,BIRD,wading,Wading birds, , ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , ,Nesting,Wading birds; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-80.9425022,25.23485181,4057,492,492,1004,2,BIRD_492,B01004,B0100402,69,37,HIGH,BIRD,wading,Wading birds, , ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , ,Nesting,Wading birds; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-81.5614803,24.75542125,4058,390,390,54,2,BIRD_390,B00054,B0005402,32,32, ,BIRD,wading,Great blue heron,Ardea herodias, ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , , ,Nesting,Nesting,Great blue heron; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-81.36980942,24.77375415,4059,390,390,54,2,BIRD_390,B00054,B0005402,32,32, ,BIRD,wading,Great blue heron,Ardea herodias, ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , , ,Nesting,Nesting,Great blue heron; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-81.5498146,24.75375429,4060,391,391,54,2,BIRD_391,B00054,B0005402,32,32, ,BIRD,wading,Great blue heron,Ardea herodias, ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , , ,Nesting,Nesting,Great blue heron; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-81.42980769,24.67042518,4061,391,391,54,2,BIRD_391,B00054,B0005402,32,32, ,BIRD,wading,Great blue heron,Ardea herodias, ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , , ,Nesting,Nesting,Great blue heron; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-81.3931394,24.63375961,4062,391,391,54,2,BIRD_391,B00054,B0005402,32,32, ,BIRD,wading,Great blue heron,Ardea herodias, ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , , ,Nesting,Nesting,Great blue heron; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
