X,Y,OBJECTID,NestID,County,NestTownsh,NestRange,NestSectio,GazPage,LastKnownA,LastSurvey,LatDec,LonDec,Act98,Act99,Act00,Act01,Act02,Act03,Act04,Act05,Act06,Act07,Act08,Act09,Act10,Active11,Active12,Active13,Active14,Active15,last_edited_date,Active16,Active17
-82.3443330002537,29.6300000004899,2611,AL072,Alachua,10S,20E,18,65,2005,2014,29.63,-82.344333,-,-,-,Y,N,Y,U,Y,U,U,U,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.1889999999249,29.5134999998861,2612,AL073,Alachua,11S,21E,22,66,2008,2014,29.5135,-82.189,-,-,-,Y,Y,N,N,Y,N,Y,Y,*,*,N,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.4029999996576,29.5850000003016,2613,AL074,Alachua,10S,19E,34,65,2014,2014,29.585,-82.403,-,-,-,-,Y,Y,Y,U,-,U,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1458330004556,29.4590000004174,2614,AL075,Alachua,12S,22E,07,72,2014,2014,29.459,-82.145833,-,-,-,-,-,Y,Y,Y,Y,U,Y,*,*,-,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.155832999486,29.4803330002482,2615,AL076,Alachua,12S,21E,01,72,2014,2014,29.480333,-82.155833,-,-,-,-,-,-,-,Y,Y,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.5306670002765,29.5003329993522,2616,AL077,Alachua,11S,18E,29,65,2014,2014,29.500333,-82.530667,-,-,-,-,-,-,Y,Y,Y,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.2305000002131,29.6128330002503,2617,AL078,Alachua,10S,21E,20,66,2014,2014,29.612833,-82.2305,-,-,-,-,-,-,-,Y,Y,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1018330004098,29.5268330003163,2618,AL079,Alachua,11S,22E,22,66,2007,2014,29.526833,-82.101833,-,-,-,-,-,-,-,Y,Y,Y,U,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.2338329996488,29.486333000021,2619,AL080,Alachua,11S,21E,32,72,2014,2014,29.486333,-82.233833,-,-,-,-,-,-,-,Y,Y,Y,U,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1063330003328,29.493833000164,2620,AL081,Alachua,11S,22E,33,72,2011,2014,29.493833,-82.106333,-,-,-,-,-,-,-,-,Y,Y,Y,*,*,Y,*,*,N,*,2017/09/19 23:51:32+00,*,
-82.1528330001362,29.4883329999757,2621,AL082,Alachua,11S,22E,31,72,2011,2014,29.488333,-82.152833,-,-,-,-,-,-,-,-,Y,U,Y,*,*,Y,*,*,N,*,2017/09/19 23:51:32+00,*,
-82.3523330000171,29.5903330003482,2622,AL083,Alachua,10S,20E,04,65,2014,2014,29.590333,-82.352333,-,-,-,-,-,-,-,-,Y,N,N,*,*,-,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.3530000000139,29.62849999955,2623,AL084,Alachua,10S,20E,18,65,2014,2014,29.6285,-82.353,-,-,-,-,-,-,-,-,Y,Y,N,Y,Y,-,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.0665000001241,29.5828329998251,2624,AL085,Alachua,10S,22E,36,66,2014,2014,29.582833,-82.0665,-,-,-,-,-,-,-,-,-,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1060000002469,29.5268330003163,2625,AL086,Alachua,11S,22E,21,66,2011,2014,29.526833,-82.106,-,-,-,-,-,-,-,-,-,Y,Y,*,*,Y,*,*,N,*,2017/09/19 23:51:32+00,*,
-82.1673329999879,29.5015000002276,2626,AL087,Alachua,11S,21E,25,66,2014,2014,29.5015,-82.167333,-,-,-,-,-,-,-,-,-,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.0914999994968,29.5309999997834,2627,AL088,Alachua,11S,22E,15,66,2014,2014,29.531,-82.0915,-,-,-,-,-,-,-,-,-,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1101670000839,29.4353329998629,2628,AL089,Alachua,12S,22E,21,72,2014,2014,29.435333,-82.110167,-,-,-,-,-,-,-,-,-,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.0899999998219,29.5008329998129,2629,AL090,Alachua,11S,22E,27,66,2011,2014,29.500833,-82.09,-,-,-,-,-,-,-,-,-,-,Y,*,*,Y,*,*,N,*,2017/09/19 23:51:32+00,*,
-82.2418329994121,29.6543329996089,2630,AL091,Alachua,10S,21E,06,66,2014,2014,29.654333,-82.241833,-,-,-,-,-,-,-,-,-,-,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1944999999306,29.6605000000901,2631,AL092,Alachua,09S,21E,34,66,2014,2014,29.6605,-82.1945,-,-,-,-,-,-,-,-,-,-,Y,*,Y,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.2903329993809,29.5480000003603,2632,AL093,Alachua,11S,20E,09,65,2014,2014,29.548,-82.290333,-,-,-,-,-,-,-,-,-,-,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1050000001642,29.553667000431,2633,AL094,Alachua,11S,22E,10,66,2014,2014,29.553667,-82.105,-,-,-,-,-,-,-,-,-,-,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.2038329998626,29.5473330001032,2634,AL095,Alachua,11S,21E,10,66,2014,2014,29.547333,-82.203833,-,-,-,-,-,-,-,-,-,-,-,*,Y,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.3248329999885,29.5503330001775,2635,AL096,Alachua,11S,20E,08,65,2014,2014,29.550333,-82.324833,-,-,-,-,-,-,-,-,-,-,-,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.4086669991695,29.624167000593,2636,AL097,Alachua,10S,19E,16,65,2014,2014,29.624167,-82.408667,-,-,-,-,-,-,-,-,-,-,-,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1953329996087,29.6531669998808,2637,AL098,Alachua,10S,21E,03,66,2014,2014,29.653167,-82.195333,-,-,-,-,-,-,-,-,-,-,-,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1555000002984,29.5575000000479,2638,AL099,Alachua,11S,21E,01,66,2014,2014,29.5575,-82.1555,-,-,-,-,-,-,-,-,-,-,-,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.0970000004008,29.5446669994865,2639,AL100,Alachua,11S,22E,10,66,2011,2014,29.544667,-82.097,-,-,-,-,-,-,-,-,-,-,-,*,*,Y,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.1335000002755,29.4966669997895,2640,AL101,Alachua,11S,22E,32,72,2014,2014,29.496667,-82.1335,-,-,-,-,-,-,-,-,-,-,-,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1754999992575,29.4878330003648,2641,AL102,Alachua,11S,21E,35,72,2011,2014,29.487833,-82.1755,-,-,-,-,-,-,-,-,-,-,-,*,*,Y,*,*,N,*,2017/09/19 23:51:32+00,*,
-82.1521669999643,29.5128330003509,2642,AL103,Alachua,11S,22E,19,66,2014,2014,29.512833,-82.152167,-,-,-,-,-,-,-,-,-,-,-,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1048330006579,29.497000000181,2643,AL104,Alachua,11S,22E,34,72,2014,2014,29.497,-82.104833,-,-,-,-,-,-,-,-,-,-,-,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
